Barcode,District Name,Name,Party,Candidate Name,Ac_No,Voter Survey Type,Gender,Religion,Qualification,Occupation,Annual Family Income,Age,Did U Vote In The Last Election?,If No Why,If Yes Did The Candidate Your Voted For In The Last Election,The Candidate,Candidates Party,Candidates Caste,IMP: Easier access to drinking water,IMP: Free Electricity,IMP: Free/Subsidized Loans,IMP: Support for Economically-weaker Sections,IMP: Irrigation Programs,IMP: Jobs through rural employment schemes,IMP: Lower rice/wheat prices,IMP: More schools,IMP: More teachers,IMP: School Facilities,IMP: Subsidy for seeds/fertilizers,IMP: Accessibility of MLA/MP,IMP: Better Law and Order/Policing,IMP: Better Public Transport,IMP: Better Roads,IMP: Eradication of Corruption,IMP: More Hospitals/Primary Health Care Centers,IMP: Trustworthiness of MLA,IMP: Security for Women,IMP: Better Electric Supply,IMP: Better Employment Opportunities,IMP: Better Garbage Clearance,IMP: Reservation for Jobs and Education,IMP: Subsidized Food Distribution,IMP: Training for Jobs,PERF: Others,PERF: Easier access to drinking water,PERF: Free Electricity,PERF: Free/Subsidized Loans,PERF: Support for Economically-weaker Sections,PERF: Irrigation Programs,PERF: Jobs through rural employment schemes,PERF: Lower rice/wheat prices,PERF: More schools,PERF: More teachers,PERF: School Facilities,PERF: Subsidy for seeds/fertilizers,PERF: Accessibility of MLA/MP,PERF: Better Law and Order/Policing,PERF: Better Public Transport,PERF: Better Roads,PERF: Eradication of Corruption,PERF: More Hospitals/Primary Health Care Centers,PERF: Trustworthiness of MLA,PERF: Security for Women,PERF: Better Electric Supply,PERF: Better Employment Opportunities,PERF: Better Garbage Clearance,PERF: Reservation for Jobs and Education,PERF: Subsidized Food Distribution,PERF: Training for Jobs,PERF: Others
202041,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,URBAN,Male,HINDU,High School,Defence,"1,00,001 to 2,50,000",46,Did not vote,3,,,,,,,,,,,,,,,,H,M,L,H,M,H,H,M,H,L-M,H,M,H,L,M,,,,,,,,,,,,A,A,B,G,A,A,G,G,A,B,A,A,G,B,A
202042,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,RURAL,Female,CHRISTIAN,Primary,Others,"25,001 to 50,000",65,Voted,,Y,VI,I,NI,H,H,H,L,M,M,H,M,M,M,M,H,H,L,H,,,,,,,,,,,,A,A,G,B,A,A,G,A,G,A,G,A,A,B-G,A,,,,,,,,,,,
202043,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,RURAL,Male,HINDU,PUC,Defence,"50,001 to 1,00,000",49,Voted,,Y,VI,NI,NI,H,M,M,M,L,M,H,M,M,L,L,H,M,L,L,M,H,M,,,,,,,,,A,A,G,A,B,A,G,A,A,B,B,G,G,B,B,A,G,A,,,,,,,,
202044,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,URBAN,Male,HINDU,Primary,Others,"25,001 to 50,000",70,Voted,,Y,I,VI,,,,,,,,,,,,,M,H,M,H,L,L,M,M,H,L,M,H,M,L,M,,,,,,,,,,,,A,A,A,G,B,B,A,G,A,B,A,G,A,B,A
202045,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,URBAN,Female,CHRISTIAN,Above Degree,Medical,"1,00,001 to 2,50,000",49,Voted,,N,VI,NI,I,,,,,,,,,,,,H,L,H,M,M,H,M,L,H,M,H,H,H,L,H,,,,,,,,,,,,A,B,G,A,A,G,G,B,A,G,A,G,A,B,A
202046,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,URBAN,Male,HINDU,Degree,Govt,"50,001 to 1,00,000",58,Voted,,Y,NI,VI,NI,,,,,,,,,,,,H,M,H,H,L,H,H,H,M,H,H,M,L,L,M,,,,,,,,,,,,A,A,A,G,B,A,A,G,A,A,G,A,B,B,A
202047,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,RURAL,Female,HINDU,No Education,Agriculture,"10,000 to 25,000",63,Voted,,N,I,VI,NI,M,H,M,H,L,H,M,M,H,M,H,M,,M,H,M,M,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202048,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,RURAL,Female,HINDU,Degree,Private,"50,001 to 1,00,000",39,Voted,,N,NI,VI,I,M,M,H,L,M,H,M,H,H,M,M,M,H,M,M,H,M,L,,,,,,,,,A,A,G,B,A,G,A,G,G,A,A,A,G,A,A,G,A,B,,,,,,,,
202049,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,URBAN,Male,OTHERS,High School,Business,"50,001 to 1,00,000",48,Did not vote,3,,,,,M,,,,,,,,,,,L,M,H,M,H,M,M,M,H,H,M,L,M,H,M,,,,,,,,,,,,B,A,G,A,G,A,A,A,G,G,A,B,A,G,A
202050,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,URBAN,Male,HINDU,No Education,Business,"50,001 to 1,00,000",53,Voted,,Y,NI,I,I,,,,,,,,,,,,M,H,M,M,H,M,H,L,M,H,M,M,H,M,H,,,,,,,,,,,,A,G,A,A,G,A,G,B,A,G,A,A,G,A,G
202051,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,URBAN,Male,HINDU,No Education,Agriculture,"Under 10,000",77,Voted,,Y,VI,,I,,,,,,,,,,,,M,H,M,M,H,M,H,M,M,H,M,H,M,H,M,,,,,,,,,,,,A,G,A,A,G,A,G,A,A,G,A,G,A,G,A
202052,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,,,,,,,,,,,,,,M,,,,,,,,M,,,M,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202053,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202054,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,,,,,,,,,,,,,,,,,,M,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202055,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202056,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202057,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202058,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,RURAL,Female,CHRISTIAN,Primary,Others,"25,001 to 50,000",65,Voted,,Y,VI,I,NI,M,L,M,M,H,M,L,H,H,M,M,M,M,L,L,M,M,M,,,,,,,,,A,B,A,A,G,A,B,G,G,G,A,A,A,B,B,A,G,A,,,,,,,,
202059,DAKSHINA KANNADA,Mangalore City North,BJP,J.KRISHNA PALEMAR,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203001,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Female,HINDU,Degree,Agriculture,"10,000 to 25,000",22,Voted,,Y,VI,I,NI,H,M,M,M,H,M,L,H,M,H,M,H,M,M,M,H,M,H,,,,,,,,,G,A,A,G,G,A,B,G,A,G,A,G,A,G,A,A,G,G,,,,,,,,
203002,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Female,MUSLIM,PUC,Others,"10,000 to 25,000",18,Did not vote,2,,,,,M,H,L,M,H,M,H,H,M,M,H,H,H,M,L,H,M,M,,,,,,,,,G,A,B,A,G,G,G,G,A,A,G,G,A,A,B,G,A,A,,,,,,,,
203003,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,HINDU,Primary,Others,"Under 10,000",40,Voted,,Y,VI,NI,NI,H,M,M,H,L,M,M,H,M,H,M,M,H,M,M,M,H,M,,,,,,,,,G,A,A,G,B,B,A,G,A,G,A,A,G,A,A,A,G,A,,,,,,,,
203004,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,CHRISTIAN,Above Degree,Engineering,"1,00,001 to 2,50,000",25,Voted,,Y,VI,NI,I,M-H,M,L,M,M-H,M,M-H,M,H,M,M,H,M,L,M,M,H,M,,,,,,,,,G,A,B,A,G,A,G,A,G,A,A,G,A,B,A,A,G,A,,,,,,,,
203005,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,OTHERS,No Education,Agriculture,"Under 10,000",24,Did not vote,1,,,,,H,M,L,M,L,M,H,M,M,H,M,M,H,M,H,M,H,M,,,,,,,,,G,A,B,A,B,A,G,A,A,G,A,A,G,A,G,A,G,A,,,,,,,,
203006,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,HINDU,Above Degree,Medical,"2,50,001 to 5,00,000",58,Voted,,Y,VI,NI,I,M,H,L,M,H,M,H,M,L,M,L,H,M,M,L,M,H,M,,,,,,,,,A,G,B,A,G,A,G,A,B,A,B,G,A,A,B,A,G,A,,,,,,,,
203007,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,CHRISTIAN,High School,Business,"25,001 to 50,000",42,Did not vote,1,,,,,H,M,L,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203008,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,OTHERS,Degree,Others,"10,000 to 25,000",60,Voted,,Y,I,VI,NI,,,,,M,,,,,,,H,M,H,L,M,H,M,M,H,M,L,M,L,M,M,,,,,,,,,,,,G,A,G,B,B,A,G,B,A,G,A,A,B,A,G
203009,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,MUSLIM,No Education,Others,"Under 10,000",26,Did not vote,1,,,,,,,,,,,,,,,,M,L,M,L,M,H,M,H,H,L,L,M,M,H,H,,,,,,,,,,,,A,B,G,A,G,G,A,,A,G,B,A,G,A,G
203010,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,OTHERS,PUC,Private,"10,000 to 25,000",67,Voted,,Y,I,VI,NI,,,,,,,,,,,,H,M,H,L,M,H,H,H,M,H,M,H,L,M,M,,,,,,,,,,,,G,A,A,B,A,G,G,A,G,A,A,G,B,G,A
203011,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,CHRISTIAN,,Law,"1,00,001 to 2,50,000",53,Voted,,Y,NI,VI,I,M,M,L,M,H,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,
203012,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,HINDU,High School,Others,"10,000 to 25,000",32,Voted,,Y,I,VI,NI,,,,,,,,,,,,H,M,M,H,L,M,H,L,M,H,L,M,H,M,M,,,,,,,,,,,,G,A,A,G,A,G,G,B,G,A,B,G,G,A,A
203013,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,MUSLIM,PUC,Others,"10,000 to 25,000",56,Did not vote,3,,,,,,,,,,,,,,,,M,H,M,L,H,M,H,H,M,H,M,H,M,H,M,,,,,,,,,,,,G,G,A,B,G,A,G,G,A,,G,G,A,G,A
203014,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,OTHERS,Primary,Agriculture,"10,000 to 25,000",37,Did not vote,1,,,,,,,M,,M,,,,,,,H,M,L,L,M,M,H,H,H,M,L,M,M,H,M,,,,,,,,,,,,G,A,B,B,A,A,G,G,G,A,B,G,A,G,A
203015,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,HINDU,Above Degree,Govt,"50,001 to 1,00,000",27,Voted,,Y,I,NI,VI,,,,,,,,,,,,H,M,M,L,M,H,H,H,M,H,L,H,M,H,M,,,,,,,,,,,,,A,G,B,A,G,,G,A,A,B,G,G,A,G
203016,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,HINDU,PUC,Others,"Under 10,000",42,Did not vote,1,,,,,,,,,,,,,,,,H,M,L,L,M,H,H,H,M,H,L,M,M,M,H,,,,,,,,,,,,G,A,B,B,A,G,G,A,,A,B,A,G,A,G
203017,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,HINDU,Degree,Private,"Under 10,000",21,Voted,,Y,NI,I,VI,,,M,,,,,,,,,H,M,L,M,H,M,M-H,H,M,L-M,L,M,M,H,M,,,,,,,,,,,,G,A,B,G,A,G,G,A,G,B,B,A,A,G,A
203018,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Female,MUSLIM,,Others,,20,Did not vote,2,,,,,H,M,L,M,L,M,H,M,L,M,H,H,M,L,M,M,H,H,,,,,,,,,G,G,B,A,B,A,G,A,B,A,G,,A,B,A,A,G,G,,,,,,,,
203019,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,CHRISTIAN,PUC,Agriculture,"10,000 to 25,000",48,Voted,,Y,VI,NI,I,H,M,L,M,H,M,H,M,M,H,M,H,M,L,L,M,M,H,,,,,,,,,G,G,B,G,G,A,A,A,G,A,,,A,B,B,A,A,G,,,,,,,,
203020,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,CHRISTIAN,Above Degree,Law,"1,00,001 to 2,50,000",23,Voted,,N,VI,NI,I,M,M,L,H,M,L,M,H,M,H,H,H,M,H,L,M,H,H,,,M,,,,,,G,A,B,G,G,A,B,A,A,G,A,G,G,A,B,A,G,G,,,,,,,,
203021,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Female,CHRISTIAN,Above Degree,Medical,"2,50,001 to 5,00,000",37,Voted,,Y,,NI,I,H,H,M,L,H,M,M,H,M,H,M,H,M,M,L,M,H,H,,,,,,,,,G,G,A,B,G,A,A,G,A,G,G,A,,A,B,A,A,G,,,,,,,,
203022,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,OTHERS,Primary,Agriculture,"10,000 to 25,000",34,Voted,,N,I,,NI,,,,,,,,,M,,,H,M,M,L,M,H,H,H,M,M,L,M,H,M,M,,,,,,,,,,,,,A,G,B,A,G,G,G,A,G,B,A,G,A,A
203023,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Female,MUSLIM,Primary,Private,"Under 10,000",35,Did not vote,3,,,,,H,H,M,M,H,M,H,M,M,H,M,H,M,M,L,M,H,H,,,,,,,,,G,G,A,A,G,A,G,A,A,G,A,,A,G,B,A,G,,,,,,,,,
203024,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,MUSLIM,High School,Others,"10,000 to 25,000",43,Voted,,Y,I,VI,NI,H,H,L,M,H,L,M,H,M,H,M,H,M,M,L,M,H,H,,,,,,,,,G,A,B,A,A,B,A,G,A,G,A,,A,G,B,A,A,G,,,,,,,,
203025,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,HINDU,High School,Private,,53,Did not vote,3,,,,,H,M,L,M,H,M,M,H,M,H,M,H,M,L,L,M,M,H,,,,,,,,,G,A,B,A,G,A,A,G,A,G,A,G,A,B,B,A,A,G,,,,,,,,
203026,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,HINDU,Degree,Business,"25,001 to 50,000",28,Voted,,Y,VI,NI,NI,H,H,L,M,H,M,M,H,M,M,M,H,M,H,L,M,M,H,,,,,,,,,G,G,B,A,G,A,A,G,A,A,A,G,A,G,B,A,A,G,,,,,,,,
203027,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Female,CHRISTIAN,Degree,Business,"10,000 to 25,000",30,Voted,,Y,VI,I,VI,H,M,L,M,H,M,H,H,M,H,M,H,M,M,L,M,M,H,,,,,,,,,G,A,B,A,A,A,G,G,A,G,A,G,A,G,B,A,G,A,,,,,,,,
203028,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,MUSLIM,No Education,Agriculture,"10,000 to 25,000",59,Voted,,Y,NI,VI,I,,,M,,,,,,,,,H,M,M,L,M,M,H,H,M,H,L,M,,M,M,,,,,,,,,,,,G,A,A,B,A,A,G,G,A,,B,A,,A,
203029,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,HINDU,No Education,Agriculture,"10,000 to 25,000",66,Voted,,Y,VI,I,NI,M-H,H,L-M,M,,,,,M,,,,,,,,,,,,,,,,,,G,G,B,A,,,,,,,,,,,,,,,,,,,,,,
203030,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,MUSLIM,Above Degree,Medical,"1,00,001 to 2,50,000",24,Voted,,Y,VI,NI,NI,,,,,,,M,,,,,H,M,M,L,M,M,H,H,M,M,L,M,M,H,M,,,,,,,,,,,,,A,G,A,A,A,G,G,A,A,B,A,,A,A
203031,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,MUSLIM,Degree,Private,"10,000 to 25,000",37,Voted,,Y,I,NI,VI,H,,,,,,,,,,,H,M,M,L,M,M,H,H,H,M,L,M,,H,,,,,,,,,,,,,G,A,G,B,A,A,G,,,A,B,,A,G,A
203032,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,HINDU,PUC,Others,"Under 10,000",62,Voted,,Y,NI,I,VI,M,,,,,,,,M,,,H,M,M,L,M,H,H,H,M,H,L,M,M,H,M,,,,,,,,,,,,G,A,A,B,A,G,G,G,A,A,B,,A,G,A
203033,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,CHRISTIAN,PUC,Private,"10,000 to 25,000",47,Did not vote,1,,,,,H,H,M,M,H,M,H,H,L,H,M,H,M,H,M,M,M,H,,,,,,,,,,G,B,A,G,A,G,A,A,G,G,G,A,A,B,A,A,,,,,,,,,
203034,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Female,CHRISTIAN,Primary,Agriculture,"10,000 to 25,000",65,Voted,,N,VI,VI,NI,H,H,L,M,H,M,M,H,M,M,H,H,M,H,L,M,M,L,,,,,,,,,G,G,B,A,G,A,G,G,A,A,,G,A,G,B,A,A,G,,,,,,,,
203035,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Female,HINDU,Primary,Private,"10,000 to 25,000",35,Did not vote,1,,,,,H,H,L,M,L,M,H,M,H,H,M,H,M,H,L,M,H,H,,,,,,,,,G,G,B,A,A,G,G,A,A,G,A,G,A,G,B,A,,G,,,,,,,,
203036,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,HINDU,Primary,Private,"10,000 to 25,000",,Did not vote,3,,,,,H,M,L,M,M-H,M,M,H,M,H,M,M-H,M,H,L,M,M,H,,,,,,,,,G,A,B,A,G,A,A,G,A,G,A,G,A,G,B,A,A,,,,,,,,,
203037,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,MUSLIM,High School,Others,"Under 10,000",45,Voted,,Y,VI,NI,I,H,M,L,M,H,M,H,H,M,H,M,H,M,M,L,M,M,M-H,,,,,,,,,G,A,B,A,G,A,G,A,A,G,A,G,A,A,B,A,A,,,,,,,,,
203038,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Female,CHRISTIAN,PUC,Private,"10,000 to 25,000",18,Did not vote,2,,,,,M,M,L,M,H,M,H,M,H,M,H,H,M,H,L,M,H,H,,,,,,,,,A,G,B,A,G,A,G,A,G,A,G,G,A,G,B,A,A,G,,,,,,,,
203039,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,HINDU,Primary,Private,"10,000 to 25,000",69,Voted,,N,I,NI,VI,,,,,,,,,,,,H,M,M,L,M,M,H,H,M,H,L,M,H,M,M,,,,,,,,,,,,G,A,A,B,A,A,G,G,A,G,B,A,G,A,
203040,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,OTHERS,Above Degree,Medical,"2,50,001 to 5,00,000",27,Voted,,Y,NI,I,VI,,,,,,,,,,,,H,M,H,L,M,H,H,H,H,M,L,M,H,M,M,,,,,,,,,,,,,A,G,B,A,G,G,,G,A,B,A,G,,G
203041,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,OTHERS,Above Degree,Medical,"2,50,001 to 5,00,000",37,Voted,,Y,NI,NI,VI,,,M,,,,,,,,,H,M,M,L,M,H,H,M,H,M,L,M,H,M,M,,,,,,,,,,,,G,A,A,B,A,G,G,G,A,A,B,A,G,G,
203042,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,MUSLIM,Degree,Private,"10,000 to 25,000",,Did not vote,3,,,,,,,,,,,,,,,,M-H,M,M,L,M,H,M-H,H,M,H,L,M,M,H,M,,,,,,,,,,,,G,A,A,B,A,G,G,G,A,G,B,A,A,G,
203043,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,HINDU,Degree,Business,"10,000 to 25,000",32,Did not vote,1,,,,,,,,,,,,,,,,H,M,M,H,M,H,H,M,H,M,L,M,M,H,M,,,,,,,,,,,,G,A,A,G,A,A,G,A,A,G,B,A,A,G,
203044,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,MUSLIM,Above Degree,Engineering,"1,00,001 to 2,50,000",20,Did not vote,2,,,,,,,,,,,,,,,,H,M,M,H,L,M,H,H,M,M,H,,H,,M,,,,,,,,,,,,G,A,A,G,B,A,G,,A,A,G,A,G,A,A
203045,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Male,CHRISTIAN,No Education,Agriculture,"10,000 to 25,000",29,Voted,,Y,VI,I,NI,H,M,L,M,M,H,M,M,H,M,H,H,M,H,L,M,H,H,,,,,,,,,,A,B,A,A,G,A,A,G,A,,G,A,G,B,A,,A,,,,,,,,
203046,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,RURAL,Female,CHRISTIAN,Primary,Others,,30,Voted,,Y,VI,I,NI,M-H,M,H,M,H,M,M,H,M,M,H,M-H,M,H,L,M,H,H,,,,,M,,,,G,A,,A,G,A,G,A,G,A,G,G,A,G,B,G,A,G,,,,,,,,
203047,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,MUSLIM,PUC,Others,"Under 10,000",34,Did not vote,1,,,,,,,,,,,,,,,,M,M,H,L,M,H,M,H,M,H,L,M,,M,M,,,,,,,,,,,,G,A,A,B,A,G,A,A,G,A,B,B,A,G,A
203048,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,HINDU,High School,Business,"25,001 to 50,000",68,Voted,,Y,NI,VI,NI,,,,,,,,,,,,H,M,H,L,M,L,M,M,H,M,L,M,M,L,M,,,,,,,,,,,,G,,A,B,A,B,A,G,A,A,B,G,A,B,A
203049,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,HINDU,Degree,Others,"25,001 to 50,000",19,Did not vote,2,,,,,M,,,,,,,,,,,M-H,M,H,M,M,L,M,M,H,M,L,M,H,L,M,,,,,,,,,,,,,A,G,A,A,B,A,A,G,A,B,A,A,B,A
203050,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,HINDU,Above Degree,Govt,"1,00,001 to 2,50,000",,Voted,,Y,VI,I,NI,,,,,,,,,,,,H,M,H,M,H,M,H,H,M,M,L,M,,H,M,,,,,,,,,,,,G,A,A,A,G,A,G,A,G,A,B,A,G,G,A
203051,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,CHRISTIAN,High School,Business,"25,001 to 50,000",42,Did not vote,1,,,,,,,,,,,,,,,,H,M,M,L,M,M,M-H,H,M,M,M,H,M,H,L,,,,,,,,,,,,G,G,A,B,A,A,G,G,G,A,G,A,,G,B
203052,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,CHRISTIAN,Above Degree,Law,"1,00,001 to 2,50,000",53,Voted,,Y,NI,VI,I,,,,,,,,,,,,H,M,M,H,M,H,H,M,H,L,M,H,M,H,M,,,,,,,,,,,,G,A,A,G,G,A,G,A,G,B,A,G,A,G,A
203053,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Female,HINDU,No Education,Agriculture,"10,000 to 25,000",66,Voted,,Y,VI,I,NI,M,,,,,,,,,,,H,M,M,L,M,M,M-H,H,M,H,L,,M,H,M,,,,,,,,,,,,,A,G,B,A,A,G,,A,G,B,,G,G,A
203054,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,URBAN,Male,MUSLIM,Degree,Private,"10,000 to 25,000",37,Voted,,Y,I,NI,VI,,,,,,,,,,,,H,M,M,L,M,M,H,H,H,M,H,M,M,H,M,,,,,,,,,,,,G,A,A,B,A,A,G,G,G,A,G,A,A,G,A
203055,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203056,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,,,,,,,,,,,,,,,,M,,M,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203057,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203058,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203059,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203060,DAKSHINA KANNADA,Mangalore City South,BJP,N.YOGISH BHAT,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
